target,repeat,ic_efe_threshold,ic_div_threshold,num_replanning,trial_steps,timesteps_inside_target,computation_time,unfinished
9,8,,40.0,32,101,83,27.473263025283813,False
1,2,,10.0,65,101,80,37.853092670440674,False
1,3,1.0,30.0,78,101,70,48.641496896743774,False
9,6,1.0,10.0,96,101,82,54.20752763748169,False
1,8,,30.0,52,101,80,34.13802528381348,False
9,9,1.0,50.0,83,101,81,49.6611123085022,False
9,7,1.0,20.0,85,101,79,50.93527579307556,False
0,0,,10.0,63,101,67,39.63904023170471,False
8,7,,20.0,43,101,86,30.6830792427063,False
9,8,,70.0,30,101,84,26.48321032524109,False
4,3,1.0,30.0,90,101,81,52.73405075073242,False
5,5,1.0,30.0,81,101,70,49.66720628738403,False
2,1,,10.0,63,101,84,37.2913818359375,False
6,7,1.0,,67,101,65,44.8280565738678,False
2,1,1.0,70.0,73,101,82,46.80258107185364,False
11,4,1.0,20.0,92,101,67,53.50212383270264,False
0,1,1.0,60.0,87,101,75,55.09018683433533,False
3,3,1.0,70.0,70,101,84,45.80421543121338,False
11,5,,,100,101,68,49.67549276351929,False
10,3,1.0,70.0,86,101,74,51.583709478378296,False
8,1,1.0,70.0,66,101,82,44.466246604919434,False
6,7,,40.0,37,101,70,29.196629762649536,False
9,5,,70.0,30,101,84,26.47586441040039,False
5,7,,50.0,35,101,71,27.59995174407959,False
8,7,,40.0,32,101,77,27.286226511001587,False
8,3,,,100,101,82,49.668630599975586,False
7,5,1.0,60.0,84,101,77,50.3920624256134,False
8,7,1.0,20.0,88,101,82,51.87801146507263,False
0,0,1.0,40.0,73,101,69,46.411967277526855,False
1,5,1.0,70.0,73,101,81,47.00397872924805,False
6,5,1.0,60.0,83,101,67,50.247233867645264,False
10,7,,40.0,33,101,69,26.396485328674316,False
7,2,1.0,20.0,86,101,78,51.090309858322144,False
7,6,1.0,60.0,71,101,76,45.8475239276886,False
2,9,,70.0,22,101,84,23.65882682800293,False
11,9,1.0,60.0,77,101,65,48.33112406730652,False
6,2,,30.0,40,101,57,29.973718643188477,False
7,9,,20.0,44,101,71,31.04973816871643,False
11,4,,10.0,68,101,69,39.014307498931885,False
0,0,,30.0,36,101,75,28.48408317565918,False
1,5,1.0,10.0,93,101,76,52.932382583618164,False
9,4,,60.0,25,101,81,24.550413608551025,False
1,1,1.0,70.0,85,101,76,51.09274172782898,False
7,4,1.0,30.0,85,101,79,51.061100006103516,False
5,9,1.0,50.0,89,101,77,51.88368844985962,False
3,6,1.0,20.0,84,101,80,50.34331798553467,False
9,6,,70.0,30,101,74,26.434123516082764,False
4,7,1.0,60.0,73,101,83,46.659857749938965,False
4,4,1.0,,67,101,82,43.38601756095886,False
8,4,1.0,60.0,76,101,78,47.54953575134277,False
